Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
     0      0.150  1.40771e+00 -4.01478e+03 -4.01337e+03  1.16057e+02
    10      0.227  2.12037e+00 -4.01548e+03 -4.01336e+03  1.15968e+02
    20      0.431  4.03250e+00 -4.01734e+03 -4.01331e+03  1.15730e+02
    30      0.760  7.11198e+00 -4.02028e+03 -4.01316e+03  1.15351e+02
    40      1.210  1.13165e+01 -4.02415e+03 -4.01283e+03  1.14841e+02
    50      1.776  1.66086e+01 -4.02880e+03 -4.01219e+03  1.14213e+02
    60      2.456  2.29727e+01 -4.03405e+03 -4.01108e+03  1.13481e+02
    70      3.253  3.04323e+01 -4.03985e+03 -4.00942e+03  1.12657e+02
    80      4.177  3.90674e+01 -4.04641e+03 -4.00734e+03  1.11744e+02
    90      5.241  4.90223e+01 -4.05290e+03 -4.00388e+03  1.10776e+02
   100      6.470  6.05143e+01 -4.05956e+03 -3.99905e+03  1.09756e+02
   110      7.895  7.38520e+01 -4.06618e+03 -3.99233e+03  1.08699e+02
   120      9.562  8.94444e+01 -4.07276e+03 -3.98331e+03  1.07616e+02
   130     11.528  1.07826e+02 -4.07933e+03 -3.97150e+03  1.06515e+02
   140     13.864  1.29681e+02 -4.08566e+03 -3.95598e+03  1.05416e+02
   150     16.665  1.55882e+02 -4.09166e+03 -3.93578e+03  1.04336e+02
   160     20.050  1.87542e+02 -4.09754e+03 -3.91000e+03  1.03286e+02
   170     24.170  2.26079e+02 -4.10325e+03 -3.87717e+03  1.02291e+02
   180     29.218  2.73294e+02 -4.10879e+03 -3.83550e+03  1.01381e+02
   190     35.437  3.31472e+02 -4.11413e+03 -3.78265e+03  1.00594e+02
   200     43.137  4.03494e+02 -4.11919e+03 -3.71570e+03  9.99828e+01
   210     52.704  4.92978e+02 -4.12393e+03 -3.63095e+03  9.96151e+01
   220     64.618  6.04424e+02 -4.12807e+03 -3.52364e+03  9.95833e+01
   230     79.471  7.43356e+02 -4.13106e+03 -3.38770e+03  1.00011e+02
   240     97.977  9.16458e+02 -4.13258e+03 -3.21612e+03  1.01042e+02
   250    120.976  1.13158e+03 -4.13222e+03 -3.00064e+03  1.02849e+02
   260    149.408  1.39753e+03 -4.12992e+03 -2.73239e+03  1.05623e+02
   270    184.256  1.72349e+03 -4.12472e+03 -2.40123e+03  1.09597e+02
   280    226.411  2.11780e+03 -4.11608e+03 -1.99828e+03  1.14990e+02
   290    276.430  2.58566e+03 -4.10264e+03 -1.51698e+03  1.22009e+02
   300    334.149  3.12555e+03 -4.08097e+03 -9.55414e+02  1.30837e+02
   310    398.138  3.72409e+03 -4.04576e+03 -3.21663e+02  1.41554e+02
   320    465.092  4.35036e+03 -3.99113e+03  3.59231e+02  1.54022e+02
   330    529.709  4.95478e+03 -3.90891e+03  1.04586e+03  1.67818e+02
   340    586.554  5.48649e+03 -3.80119e+03  1.68531e+03  1.81673e+02
   350    633.677  5.92727e+03 -3.71095e+03  2.21631e+03  1.92428e+02
   360    670.624  6.27287e+03 -3.68582e+03  2.58705e+03  1.96834e+02
   370    691.307  6.46633e+03 -3.71391e+03  2.75242e+03  1.94636e+02
   380    687.846  6.43396e+03 -3.74533e+03  2.68862e+03  1.87712e+02
   390    658.398  6.15850e+03 -3.75749e+03  2.40101e+03  1.77442e+02
   400    607.552  5.68290e+03 -3.75275e+03  1.93015e+03  1.64682e+02
   410    542.981  5.07892e+03 -3.73806e+03  1.34087e+03  1.50368e+02
   420    472.537  4.42000e+03 -3.72256e+03  6.97445e+02  1.35416e+02
   430    402.615  3.76597e+03 -3.71069e+03  5.52830e+01  1.20716e+02
   440    337.569  3.15754e+03 -3.70347e+03 -5.45926e+02  1.06964e+02
   450    279.820  2.61737e+03 -3.70052e+03 -1.08315e+03  9.45788e+01
   460    230.302  2.15419e+03 -3.70264e+03 -1.54845e+03  8.36769e+01
   470    188.945  1.76735e+03 -3.70827e+03 -1.94092e+03  7.42562e+01
   480    155.072  1.45051e+03 -3.71739e+03 -2.26688e+03  6.61640e+01
   490    127.701  1.19449e+03 -3.73029e+03 -2.53580e+03  5.91984e+01
   500    105.757  9.89229e+02 -3.74563e+03 -2.75641e+03  5.32061e+01
   510     88.206  8.25061e+02 -3.76219e+03 -2.93713e+03  4.80505e+01
   520     74.141  6.93497e+02 -3.77893e+03 -3.08543e+03  4.36136e+01
   530     62.828  5.87678e+02 -3.79493e+03 -3.20725e+03  3.97934e+01
   540     53.734  5.02611e+02 -3.81062e+03 -3.30801e+03  3.64576e+01
   550     46.512  4.35066e+02 -3.82689e+03 -3.39182e+03  3.34633e+01
   560     40.928  3.82834e+02 -3.84455e+03 -3.46172e+03  3.06778e+01
   570     36.741  3.43671e+02 -3.86546e+03 -3.52179e+03  2.79624e+01
   580     33.671  3.14948e+02 -3.88834e+03 -3.57339e+03  2.53031e+01
   590     31.445  2.94125e+02 -3.91291e+03 -3.61878e+03  2.26816e+01
   600     29.850  2.79212e+02 -3.93888e+03 -3.65966e+03  2.00916e+01
   610     28.739  2.68819e+02 -3.96548e+03 -3.69666e+03  1.75459e+01
   620     28.012  2.62015e+02 -3.99234e+03 -3.73033e+03  1.50480e+01
   630     27.600  2.58167e+02 -4.01931e+03 -3.76114e+03  1.25967e+01
   640     27.461  2.56863e+02 -4.04632e+03 -3.78946e+03  1.01884e+01
   650     27.567  2.57858e+02 -4.07369e+03 -3.81583e+03  7.80868e+00
   660     27.907  2.61039e+02 -4.10142e+03 -3.84038e+03  5.45282e+00
   670     28.479  2.66387e+02 -4.12962e+03 -3.86323e+03  3.11325e+00
   680     29.281  2.73886e+02 -4.15813e+03 -3.88424e+03  7.92810e-01
   690     30.304  2.83454e+02 -4.18705e+03 -3.90359e+03 -1.51041e+00
