Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
     0      0.150  6.80274e-01 -1.63102e+03 -1.63034e+03  1.97235e+02
    10      0.230  1.04161e+00 -1.63138e+03 -1.63034e+03  1.97165e+02
    20      0.449  2.03427e+00 -1.63237e+03 -1.63033e+03  1.96972e+02
    30      0.805  3.64650e+00 -1.63396e+03 -1.63032e+03  1.96658e+02
    40      1.294  5.85953e+00 -1.63613e+03 -1.63027e+03  1.96227e+02
    50      1.910  8.64904e+00 -1.63884e+03 -1.63019e+03  1.95686e+02
    60      2.648  1.19870e+01 -1.64203e+03 -1.63004e+03  1.95041e+02
    70      3.500  1.58436e+01 -1.64566e+03 -1.62982e+03  1.94299e+02
    80      4.460  2.01895e+01 -1.64966e+03 -1.62947e+03  1.93469e+02
    90      5.522  2.49982e+01 -1.65399e+03 -1.62899e+03  1.92560e+02
   100      6.681  3.02472e+01 -1.65858e+03 -1.62834e+03  1.91579e+02
   110      7.934  3.59203e+01 -1.66339e+03 -1.62747e+03  1.90535e+02
   120      9.279  4.20085e+01 -1.66837e+03 -1.62636e+03  1.89437e+02
   130     10.715  4.85111e+01 -1.67348e+03 -1.62497e+03  1.88290e+02
   140     12.245  5.54362e+01 -1.67860e+03 -1.62316e+03  1.87107e+02
   150     13.872  6.28012e+01 -1.68381e+03 -1.62100e+03  1.85888e+02
   160     15.601  7.06312e+01 -1.68896e+03 -1.61833e+03  1.84646e+02
   170     17.442  7.89638e+01 -1.69370e+03 -1.61473e+03  1.83406e+02
   180     19.403  8.78419e+01 -1.69876e+03 -1.61091e+03  1.82127e+02
   190     21.495  9.73127e+01 -1.70398e+03 -1.60667e+03  1.80823e+02
   200     23.731  1.07434e+02 -1.70870e+03 -1.60126e+03  1.79539e+02
   210     26.126  1.18278e+02 -1.71159e+03 -1.59331e+03  1.78359e+02
   220     28.700  1.29932e+02 -1.71358e+03 -1.58365e+03  1.77231e+02
   230     31.471  1.42475e+02 -1.71651e+03 -1.57404e+03  1.76045e+02
   240     34.453  1.55977e+02 -1.72130e+03 -1.56532e+03  1.74750e+02
   250     37.666  1.70521e+02 -1.72650e+03 -1.55598e+03  1.73437e+02
   260     41.130  1.86205e+02 -1.73154e+03 -1.54533e+03  1.72148e+02
   270     44.870  2.03135e+02 -1.73637e+03 -1.53323e+03  1.70889e+02
   280     48.909  2.21424e+02 -1.74078e+03 -1.51936e+03  1.69679e+02
   290     53.277  2.41195e+02 -1.74481e+03 -1.50362e+03  1.68522e+02
   300     58.000  2.62579e+02 -1.74856e+03 -1.48598e+03  1.67420e+02
   310     63.109  2.85711e+02 -1.75233e+03 -1.46662e+03  1.66358e+02
   320     68.636  3.10729e+02 -1.75646e+03 -1.44573e+03  1.65325e+02
   330     74.611  3.37781e+02 -1.76013e+03 -1.42235e+03  1.64379e+02
   340     81.070  3.67024e+02 -1.76295e+03 -1.39593e+03  1.63553e+02
   350     88.051  3.98625e+02 -1.76509e+03 -1.36647e+03  1.62845e+02
   360     95.589  4.32752e+02 -1.76646e+03 -1.33371e+03  1.62271e+02
   370    103.722  4.69573e+02 -1.76784e+03 -1.29826e+03  1.61794e+02
   380    112.486  5.09249e+02 -1.76920e+03 -1.25995e+03  1.61425e+02
   390    121.916  5.51940e+02 -1.77035e+03 -1.21841e+03  1.61187e+02
   400    132.046  5.97800e+02 -1.77104e+03 -1.17324e+03  1.61105e+02
   410    142.908  6.46975e+02 -1.77117e+03 -1.12419e+03  1.61196e+02
   420    154.530  6.99590e+02 -1.77000e+03 -1.07041e+03  1.61517e+02
   430    166.933  7.55743e+02 -1.76875e+03 -1.01301e+03  1.62000e+02
   440    180.132  8.15497e+02 -1.76654e+03 -9.51046e+02  1.62708e+02
   450    194.129  8.78864e+02 -1.76408e+03 -8.85216e+02  1.63605e+02
   460    208.913  9.45794e+02 -1.76097e+03 -8.15178e+02  1.64720e+02
   470    224.455  1.01616e+03 -1.75695e+03 -7.40790e+02  1.66071e+02
   480    240.706  1.08973e+03 -1.75195e+03 -6.62218e+02  1.67662e+02
   490    257.588  1.16616e+03 -1.74659e+03 -5.80431e+02  1.69451e+02
   500    274.995  1.24496e+03 -1.73993e+03 -4.94969e+02  1.71489e+02
   510    292.783  1.32549e+03 -1.73160e+03 -4.06103e+02  1.73788e+02
   520    310.771  1.40693e+03 -1.72216e+03 -3.15225e+02  1.76296e+02
   530    328.744  1.48830e+03 -1.71239e+03 -2.24091e+02  1.78942e+02
   540    346.458  1.56850e+03 -1.70108e+03 -1.32587e+02  1.81771e+02
   550    363.668  1.64640e+03 -1.68771e+03 -4.13029e+01  1.84773e+02
   560    380.167  1.72110e+03 -1.67303e+03  4.80725e+01  1.87847e+02
   570    395.825  1.79199e+03 -1.65734e+03  1.34642e+02  1.90903e+02
   580    410.583  1.85880e+03 -1.64157e+03  2.17236e+02  1.93807e+02
   590    424.385  1.92129e+03 -1.62639e+03  2.94897e+02  1.96437e+02
   600    437.062  1.97868e+03 -1.61189e+03  3.66791e+02  1.98726e+02
   610    448.286  2.02949e+03 -1.59940e+03  4.30085e+02  2.00552e+02
   620    457.640  2.07184e+03 -1.58812e+03  4.83722e+02  2.01944e+02
   630    464.771  2.10412e+03 -1.57618e+03  5.27948e+02  2.02993e+02
   640    469.484  2.12546e+03 -1.56418e+03  5.61283e+02  2.03632e+02
   650    471.774  2.13583e+03 -1.55290e+03  5.82925e+02  2.03772e+02
   660    471.778  2.13584e+03 -1.54291e+03  5.92935e+02  2.03341e+02
   670    469.696  2.12642e+03 -1.53515e+03  5.91264e+02  2.02246e+02
   680    465.715  2.10840e+03 -1.52987e+03  5.78532e+02  2.00463e+02
   690    459.965  2.08237e+03 -1.52699e+03  5.55378e+02  1.98005e+02
   700    452.513  2.04863e+03 -1.52725e+03  5.21377e+02  1.94866e+02
   710    443.382  2.00729e+03 -1.52943e+03  4.77858e+02  1.91176e+02
   720    432.596  1.95846e+03 -1.53280e+03  4.25660e+02  1.87049e+02
   730    420.215  1.90241e+03 -1.53659e+03  3.65822e+02  1.82607e+02
   740    406.362  1.83969e+03 -1.54018e+03  2.99511e+02  1.77959e+02
   750    391.224  1.77116e+03 -1.54313e+03  2.28029e+02  1.73200e+02
   760    375.044  1.69791e+03 -1.54582e+03  1.52086e+02  1.68368e+02
   770    358.094  1.62117e+03 -1.54783e+03  7.33356e+01  1.63539e+02
   780    340.664  1.54226e+03 -1.54919e+03 -6.92739e+00  1.58756e+02
   790    323.039  1.46247e+03 -1.55066e+03 -8.81864e+01  1.54004e+02
   800    305.487  1.38301e+03 -1.55239e+03 -1.69384e+02  1.49303e+02
   810    288.237  1.30491e+03 -1.55441e+03 -2.49500e+02  1.44674e+02
   820    271.481  1.22906e+03 -1.55703e+03 -3.27976e+02  1.40115e+02
   830    255.358  1.15606e+03 -1.56045e+03 -4.04388e+02  1.35628e+02
   840    239.962  1.08636e+03 -1.56444e+03 -4.78079e+02  1.31241e+02
   850    225.343  1.02018e+03 -1.56910e+03 -5.48920e+02  1.26958e+02
   860    211.523  9.57613e+02 -1.57408e+03 -6.16470e+02  1.22811e+02
   870    198.500  8.98656e+02 -1.57984e+03 -6.81189e+02  1.18780e+02
   880    186.261  8.43243e+02 -1.58582e+03 -7.42574e+02  1.14904e+02
   890    174.782  7.91275e+02 -1.59163e+03 -8.00354e+02  1.11209e+02
   900    164.039  7.42641e+02 -1.59782e+03 -8.55182e+02  1.07661e+02
   910    154.007  6.97224e+02 -1.60395e+03 -9.06723e+02  1.04285e+02
   920    144.657  6.54894e+02 -1.61008e+03 -9.55186e+02  1.01071e+02
   930    135.959  6.15518e+02 -1.61610e+03 -1.00059e+03  9.80211e+01
   940    127.884  5.78961e+02 -1.62223e+03 -1.04327e+03  9.51135e+01
   950    120.403  5.45093e+02 -1.62838e+03 -1.08329e+03  9.23438e+01
   960    113.489  5.13791e+02 -1.63423e+03 -1.12044e+03  8.97227e+01
   970    107.117  4.84943e+02 -1.64033e+03 -1.15538e+03  8.72053e+01
   980    101.265  4.58448e+02 -1.64656e+03 -1.18812e+03  8.47869e+01
   990     95.911  4.34213e+02 -1.65292e+03 -1.21871e+03  8.24568e+01
  1000     91.039  4.12155e+02 -1.65944e+03 -1.24729e+03  8.02016e+01
