Step    T(K)      KE(kJ)        PE(kJ)       TotE(kJ)
     0      0.155  6.99553e-01 -1.63104e+03 -1.63034e+03
   100     24.110  1.09151e+02 -1.71159e+03 -1.60244e+03
   200    132.659  6.00575e+02 -1.79822e+03 -1.19765e+03
   300    435.790  1.97292e+03 -1.65974e+03  3.13183e+02
   400    305.976  1.38522e+03 -1.59971e+03 -2.14488e+02
   500     90.178  4.08256e+02 -1.68911e+03 -1.28085e+03
   600     58.975  2.66994e+02 -1.87642e+03 -1.60943e+03
   700     65.069  2.94583e+02 -2.03713e+03 -1.74255e+03
   800     92.733  4.19822e+02 -2.13219e+03 -1.71237e+03
   900    142.319  6.44309e+02 -2.12082e+03 -1.47651e+03
  1000    189.739  8.58993e+02 -1.95833e+03 -1.09933e+03
  1100    228.318  1.03365e+03 -1.92115e+03 -8.87505e+02
  1200    183.469  8.30606e+02 -1.93242e+03 -1.10181e+03
  1300    137.984  6.24686e+02 -2.05910e+03 -1.43441e+03
  1400    101.585  4.59900e+02 -2.09864e+03 -1.63874e+03
  1500    106.852  4.83743e+02 -2.16077e+03 -1.67703e+03
  1600    122.422  5.54231e+02 -2.12595e+03 -1.57172e+03
  1700    161.709  7.32093e+02 -2.06754e+03 -1.33544e+03
  1800    202.199  9.15401e+02 -2.00930e+03 -1.09390e+03
  1900    192.138  8.69852e+02 -1.98302e+03 -1.11316e+03
  2000    151.058  6.83875e+02 -2.00669e+03 -1.32281e+03
  2100    124.131  5.61969e+02 -2.06962e+03 -1.50765e+03
  2200    113.225  5.12593e+02 -2.09213e+03 -1.57953e+03
  2300    126.781  5.73966e+02 -2.10094e+03 -1.52698e+03
  2400    156.078  7.06599e+02 -2.07954e+03 -1.37294e+03
  2500    181.933  8.23652e+02 -2.03529e+03 -1.21163e+03
  2600    177.167  8.02073e+02 -1.99177e+03 -1.18970e+03
  2700    155.889  7.05745e+02 -2.01269e+03 -1.30695e+03
  2800    133.518  6.04465e+02 -2.04123e+03 -1.43677e+03
  2900    125.868  5.69833e+02 -2.06243e+03 -1.49259e+03
  3000    134.820  6.10358e+02 -2.06830e+03 -1.45794e+03
  3100    154.284  6.98480e+02 -2.04943e+03 -1.35095e+03
  3200    175.711  7.95482e+02 -2.03660e+03 -1.24112e+03
  3300    166.060  7.51790e+02 -1.98889e+03 -1.23710e+03
  3400    158.178  7.16108e+02 -2.03032e+03 -1.31422e+03
  3500    137.053  6.20471e+02 -2.03501e+03 -1.41454e+03
  3600    134.290  6.07962e+02 -2.07392e+03 -1.46596e+03
  3700    135.517  6.13515e+02 -2.06415e+03 -1.45064e+03
  3800    150.826  6.82821e+02 -2.06143e+03 -1.37861e+03
  3900    161.384  7.30620e+02 -2.03954e+03 -1.30892e+03
  4000    161.108  7.29374e+02 -2.01606e+03 -1.28669e+03
  4100    160.478  7.26521e+02 -2.04867e+03 -1.32215e+03
  4200    137.547  6.22704e+02 -2.01133e+03 -1.38862e+03
  4300    138.290  6.26071e+02 -2.03837e+03 -1.41230e+03
  4400    146.213  6.61940e+02 -2.04999e+03 -1.38805e+03
  4500    155.887  7.05736e+02 -2.04781e+03 -1.34207e+03
  4600    155.777  7.05236e+02 -2.02403e+03 -1.31879e+03
  4700    155.204  7.02641e+02 -2.03673e+03 -1.33409e+03
  4800    145.103  6.56916e+02 -2.02681e+03 -1.36989e+03
  4900    146.286  6.62270e+02 -2.04859e+03 -1.38632e+03
